,precision,recall,f1-score,support
0,0.9333333333333333,1.0,0.9655172413793104,42.0
1,1.0,1.0,1.0,69.0
2,0.9818181818181818,0.9642857142857143,0.972972972972973,56.0
3,0.9574468085106383,0.9375,0.9473684210526315,48.0
4,0.9622641509433962,0.9107142857142857,0.9357798165137615,56.0
5,0.9090909090909091,0.9615384615384616,0.9345794392523366,52.0
6,0.9761904761904762,0.9318181818181818,0.9534883720930233,44.0
7,0.9591836734693877,0.94,0.9494949494949495,50.0
8,0.9736842105263158,0.925,0.9487179487179489,40.0
9,0.8983050847457628,0.9636363636363636,0.9298245614035089,55.0
accuracy,0.955078125,0.955078125,0.955078125,0.955078125
macro avg,0.9551316828628401,0.9534493006993007,0.9537743722880444,512.0
weighted avg,0.9561806590308716,0.955078125,0.9551386720187255,512.0
